Trait	CHR	n_variants	output_file	status
555.2_UC	17	745404	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr17.txt.gz	written
555.2_UC	18	758673	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr18.txt.gz	written
555.2_UC	19	603496	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr19.txt.gz	written
555.2_UC	20	601199	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr20.txt.gz	written
555.2_UC	21	356214	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr21.txt.gz	written
555.2_UC	22	353575	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555.2_UC/555.2_UC_chr22.txt.gz	written
555_IBD	1	2193458	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr1.txt.gz	written
555_IBD	2	2439558	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr2.txt.gz	written
555_IBD	3	2050060	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr3.txt.gz	written
555_IBD	4	2038106	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr4.txt.gz	written
555_IBD	5	1877878	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr5.txt.gz	written
555_IBD	6	1842323	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr6.txt.gz	written
555_IBD	7	1659686	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr7.txt.gz	written
555_IBD	8	1602435	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr8.txt.gz	written
555_IBD	9	1221543	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr9.txt.gz	written
555_IBD	10	1413261	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr10.txt.gz	written
555_IBD	11	1424767	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr11.txt.gz	written
555_IBD	12	1326507	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr12.txt.gz	written
555_IBD	13	987211	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr13.txt.gz	written
555_IBD	14	891945	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr14.txt.gz	written
555_IBD	15	796827	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr15.txt.gz	written
555_IBD	16	863274	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr16.txt.gz	written
555_IBD	17	745404	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr17.txt.gz	written
555_IBD	18	758673	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr18.txt.gz	written
555_IBD	19	603496	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr19.txt.gz	written
555_IBD	20	601199	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr20.txt.gz	written
555_IBD	21	356214	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr21.txt.gz	written
555_IBD	22	353575	/data/l2_bioinfo1/lyul1/GWAS_SS/IBD/ind_GWAS/UKB/555_IBD/555_IBD_chr22.txt.gz	written
